number,costPerHour,percentage
8,15,0.018099548
157,30,0.35520362
74,45,0.167420814
38,60,0.085972851
20,75,0.045248869
19,90,0.042986425
15,105,0.033936652
12,120,0.027149321
7,135,0.015837104
16,150,0.036199095
5,165,0.011312217
10,180,0.022624434
1,195,0.002262443
6,210,0.013574661
5,225,0.011312217
3,240,0.00678733
3,255,0.00678733
1,270,0.002262443
2,285,0.004524887
9,300,0.020361991
0,315,0
1,330,0.002262443
0,345,0
1,360,0.002262443
0,375,0
1,390,0.002262443
1,405,0.002262443
0,420,0
1,435,0.002262443
3,450,0.00678733
0,465,0
1,480,0.002262443
2,495,0.004524887
1,510,0.002262443
2,525,0.004524887
0,540,0
0,555,0
1,570,0.002262443
1,585,0.002262443
3,600,0.00678733
0,615,0
0,630,0
0,645,0
0,660,0
0,675,0
0,690,0
0,705,0
1,720,0.002262443
0,735,0
0,750,0
1,765,0.002262443
1,780,0.002262443
0,795,0
0,810,0
0,825,0
0,840,0
0,855,0
0,870,0
0,885,0
6,900,0.013574661
0,915,0
0,930,0
0,945,0
0,960,0
0,975,0
0,990,0
0,1005,0
0,1020,0
0,1035,0
0,1050,0
0,1065,0
0,1080,0
0,1095,0
0,1110,0
0,1125,0
0,1140,0
0,1155,0
0,1170,0
0,1185,0
1,1200,0.002262443
0,1215,0
0,1230,0
0,1245,0
0,1260,0
0,1275,0
0,1290,0
0,1305,0
0,1320,0
0,1335,0
1,1350,0.002262443
0,1365,0
0,1380,0
0,1395,0
0,1410,0
0,1425,0
0,1440,0
0,1455,0
0,1470,0
0,1485,0
1,1500,0.002262443
