index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
6762,390660,Call of Tomsk-7,23,735,0.99,0.532608696,1.85877551
12197,547850,Trump Simulator VR,3,95,0.99,0.527777778,1.875789474
9298,434380,Pixel Z - Gun Day,9,281,0.99,0.52037037,1.902491103
8728,642560,Art Of Gravity,11,328,0.99,0.496969697,1.992073171
13060,543350,The Night The Carsons Disappeared,2,59,0.99,0.491666667,2.013559322
13548,678290,Ezy,2,59,0.99,0.491666667,2.013559322
11822,447240,Zasa - An AI Story,3,87,0.99,0.483333333,2.048275862
12764,608241,Kabaneri of the Iron Fortress: Kotetsujyo,2,57,0.99,0.475,2.084210526
8121,601980,DeepFear,13,358,0.99,0.458974359,2.15698324
13884,555040,Fan Fun,1,27,0.99,0.45,2.2
11628,392920,Arvale,4,106,0.99,0.441666667,2.241509434
13266,608234,Kabaneri of the Iron Fortress: Inescapable Darkness,2,53,0.99,0.441666667,2.241509434
8888,606860,Nephise,10,263,0.99,0.438333333,2.258555133
12888,608237,Kabaneri of the Iron Fortress: The Silent Hunter,2,51,0.99,0.425,2.329411765
10263,495320,Ancient VR coaster,6,152,0.99,0.422222222,2.344736842
14302,573022,Izetta: The Last Witch: The Sword in the Heavens,1,25,0.99,0.416666667,2.376
15110,573025,Izetta: The Last Witch: On a Quiet Day...,1,25,0.99,0.416666667,2.376
12497,608231,Kabaneri of the Iron Fortress: Never-ending Darkness,2,49,0.99,0.408333333,2.424489796
13006,608239,Kabaneri of the Iron Fortress: The Attacking Weak,2,49,0.99,0.408333333,2.424489796
13087,608233,Kabaneri of the Iron Fortress: Flowing Blood,2,49,0.99,0.408333333,2.424489796
11069,439260,BUTTS,4,97,0.99,0.404166667,2.449484536
13654,573026,Izetta: The Last Witch: The Battle of Sognefjord,1,24,0.99,0.4,2.475
14297,573028,Izetta: The Last Witch: The Sellun Corridor Burns,1,24,0.99,0.4,2.475
14303,573023,Izetta: The Last Witch: The Secret of the Witch,1,24,0.99,0.4,2.475
14902,573027,Izetta: The Last Witch: A Cruel Fairy Tale,1,24,0.99,0.4,2.475
15041,568020,Blind Love,1,24,0.99,0.4,2.475
15466,573021,Izetta: The Last Witch: Scars and Gunfire,1,24,0.99,0.4,2.475
15518,573024,Izetta: The Last Witch: A False Miracle,1,24,0.99,0.4,2.475
12506,608232,Kabaneri of the Iron Fortress: Prayer Offer,2,47,0.99,0.391666667,2.527659574
1138,270570,Reversion - The Escape,455,10638,0.99,0.38967033,2.540609137
13292,595070,Keep Balance VR,2,46,0.99,0.383333333,2.582608696
14171,689750,Youtubers Clicker,1,23,0.99,0.383333333,2.582608696
14304,573030,Izetta: The Last Witch: Finé,1,23,0.99,0.383333333,2.582608696
15549,573029,Izetta: The Last Witch: The Iron Hammer of the Witch,1,23,0.99,0.383333333,2.582608696
7120,457580,The Visitor,20,450,0.99,0.375,2.64
12039,655560,Chaos;Child: Chaos;Head \ Digital Native,3,67,0.99,0.372222222,2.659701493
13396,608235,Kabaneri of the Iron Fortress: Gathering Light,2,44,0.99,0.366666667,2.7
15368,505680,Glaive,1,22,0.99,0.366666667,2.7
13149,608240,Kabaneri of the Iron Fortress: Burning Life,2,43,0.99,0.358333333,2.762790698
13780,607600,Ace Attorney: The First Turnabout,1,21,0.99,0.35,2.828571429
15263,689990,Achievement Hunter: Darkness,1,21,0.99,0.35,2.828571429
12966,608894,Mob Psycho 100: OCHIMUSHA ~Psychic Powers and Me~,2,41,0.99,0.341666667,2.897560976
13698,700790,Achievement Hunter: Darkness 2,1,20,0.99,0.333333333,2.97
14447,693300,Unbalance,1,20,0.99,0.333333333,2.97
12880,539690,Nanomedix Inc,2,39,0.99,0.325,3.046153846
3945,411560,Reveal The Deep,85,1651,0.99,0.32372549,3.058146578
12032,608230,Kabaneri of the Iron Fortress: Frightened Corpse,3,58,0.99,0.322222222,3.072413793
12425,673300,Alien Splatter Redux,3,57,0.99,0.316666667,3.126315789
14601,626960,Sound Euphonium: Welcome to High School,1,18,0.99,0.3,3.3
7265,354970,Shin Samurai Jazz,19,336,0.99,0.294736842,3.358928571
11752,509290,One Night Two Crazies,3,50,0.99,0.277777778,3.564
11882,483970,Directionless,3,48,0.99,0.266666667,3.7125
13977,691660,Achievement Hunter: Pharaoh,1,16,0.99,0.266666667,3.7125
15033,693870,Achievement Hunter: Wizard,1,16,0.99,0.266666667,3.7125
11441,514460,Cyberline Racing,4,63,0.99,0.2625,3.771428571
7963,686180,Cat Girl,14,213,0.99,0.253571429,3.904225352
13976,695020,Achievement Hunter: Urban,1,15,0.99,0.25,3.96
15116,696550,Achievement Hunter: Offensive,1,15,0.99,0.25,3.96
10425,671760,Far Space,6,88,0.99,0.244444444,4.05
12856,334830,Entropy Rising,2,29,0.99,0.241666667,4.096551724
13386,537280,Existence speed,2,28,0.99,0.233333333,4.242857143
6074,515570,UBERMOSH Vol.3,30,404,0.99,0.224444444,4.410891089
13964,424100,Celestrion,1,13,0.99,0.216666667,4.569230769
13377,584600,Virus Crashers,2,25,0.99,0.208333333,4.752
11426,474790,Pixel Day - Gun Z,4,49,0.99,0.204166667,4.848979592
11029,606449,Berserk: Hell's Angels,4,45,0.99,0.1875,5.28
11425,606448,Berserk: Blood Flow of the Dead,4,45,0.99,0.1875,5.28
11356,606450,Berserk: Shadows of Ideas,4,44,0.99,0.183333333,5.4
