index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
14670,501860,Slayer Shock,1,42,19.99,0.7,28.55714286
11709,20200,Galactic Bowling,3,123,19.99,0.683333333,29.25365854
11266,494960,Twisted Arrow,4,163,19.99,0.679166667,29.43312883
7871,256050,Adventure Park,15,590,19.99,0.655555556,30.49322034
2866,8340,Strong Bad Episode 1: Homestar Ruiner,142,5511,19.99,0.646830986,30.90451824
14253,422940,Divergence: Online,1,38,19.99,0.633333333,31.56315789
3044,262850,The Journey Down: Chapter Two,130,4871,19.99,0.624487179,32.01026483
14828,340880,Solar War,1,37,19.99,0.616666667,32.41621622
3054,10110,Space Quest Collection,129,4701,19.99,0.607364341,32.91269943
3344,27400,Dangerous High School Girls in Trouble!,111,4036,19.99,0.606006006,32.98647175
7666,324190,CodeSpells,16,578,19.99,0.602083333,33.20138408
7675,109700,Achron,16,578,19.99,0.602083333,33.20138408
13081,621070,Legends of Ellaria,2,72,19.99,0.6,33.31666667
1528,261510,Tesla Effect,326,11686,19.99,0.597443763,33.45921616
128,409720,BioShock 2 Remastered,3114,107991,19.99,0.577986513,34.58558213
13529,294280,Scooby-Doo! & Looney Tunes Cartoon Universe: Adventure,2,69,19.99,0.575,34.76521739
12322,396560,Front Defense,3,102,19.99,0.566666667,35.27647059
15315,648070,Crisis Action VR,1,33,19.99,0.55,36.34545455
9587,452420,Koihime Enbu,8,259,19.99,0.539583333,37.04710425
13397,608990,The Archotek Project,2,63,19.99,0.525,38.07619048
10207,521950,Bullet Sorrow VR,6,187,19.99,0.519444444,38.48342246
3687,317280,Solstice,95,2906,19.99,0.509824561,39.20956641
5346,327310,The Marvellous Miss Take,43,1315,19.99,0.509689922,39.21992395
1047,32420,STAR WARS™: The Clone Wars - Republic Heroes™,497,14515,19.99,0.486753856,41.06798484
13040,543240,Root Letter,2,58,19.99,0.483333333,41.35862069
3007,553960,Husk,132,3807,19.99,0.480681818,41.58676123
8183,462990,Tomoyo After ~It's a Wonderful Life~ English Edition,13,339,19.99,0.434615385,45.99469027
14634,437080,Space Rift - Episode 1,1,26,19.99,0.433333333,46.13076923
14242,518110,Ahros: One warrior chronicle,1,25,19.99,0.416666667,47.976
14905,548840,A Rose in the Twilight,1,25,19.99,0.416666667,47.976
11926,594370,Crazy Fishing,3,72,19.99,0.4,49.975
13822,540690,Hellenica,1,24,19.99,0.4,49.975
9407,525040,The Disney Afternoon Collection,8,185,19.99,0.385416667,51.86594595
13680,431830,Drift Into Eternity,1,23,19.99,0.383333333,52.14782609
2953,405500,Dangerous Golf,136,3090,19.99,0.378676471,52.78912621
8439,292760,Rise of Prussia Gold,12,268,19.99,0.372222222,53.70447761
12481,400470,The Seven Years War (1756-1763),2,43,19.99,0.358333333,55.78604651
5576,403980,World Ship Simulator,38,801,19.99,0.351315789,56.90037453
10000,475490,Major\Minor - Complete Edition,7,146,19.99,0.347619048,57.50547945
8928,543870,NARUTO SHIPPUDEN: Ultimate Ninja STORM 2,10,207,19.99,0.345,57.94202899
11416,503580,Duck Season,4,81,19.99,0.3375,59.22962963
7553,32660,Delta Force: Xtreme,17,305,19.99,0.299019608,66.85180328
8064,314560,Kyn,14,244,19.99,0.29047619,68.81803279
9617,33790,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,8,135,19.99,0.28125,71.07555556
11740,600720,Trackmania² Lagoon,3,44,19.99,0.244444444,81.77727273
13339,397420,Hoyle Official Card Games Collection,2,29,19.99,0.241666667,82.71724138
15052,609170,Drummer Talent VR,1,14,19.99,0.233333333,85.67142857
11623,340990,Bolt,4,54,19.99,0.225,88.84444444
12761,396680,Sol Trader,2,27,19.99,0.225,88.84444444
11241,529860,ColecoVision Flashback,4,53,19.99,0.220833333,90.52075472
13555,592030,Just In Time Incorporated,2,26,19.99,0.216666667,92.26153846
13825,346930,Deadhold,1,13,19.99,0.216666667,92.26153846
15336,257650,Mosaico ,1,12,19.99,0.2,99.95
1501,94620,Hector: Ep 3,333,3696,19.99,0.184984985,108.0628247
12718,527330,Grave VR,2,22,19.99,0.183333333,109.0363636
14271,628660,Lode Runner Legacy,1,11,19.99,0.183333333,109.0363636
12030,318350,Disney Fairies: Tinker Bell's Adventure,3,30,19.99,0.166666667,119.94
2419,312710,Broadsword : Age of Chivalry,182,1765,19.99,0.161630037,123.6775071
7929,249930,A-Train 8,15,145,19.99,0.161111111,124.0758621
12675,479010,Kodon,2,18,19.99,0.15,133.2666667
6912,38490,Earthworm Jim 2,22,191,19.99,0.14469697,138.1507853
7121,402800,Chunks,20,170,19.99,0.141666667,141.1058824
13363,452950,Hazard Perception Test UK 2016/17 - Driving Test Success,2,17,19.99,0.141666667,141.1058824
6670,418520,SculptrVR,24,199,19.99,0.138194444,144.6512563
7274,464170,VRMark,19,153,19.99,0.134210526,148.945098
13316,387430,The Viceroy,2,16,19.99,0.133333333,149.925
14133,305720,Heroes of Issachar,1,8,19.99,0.133333333,149.925
14871,422140,Wrestling Spirit 3,1,8,19.99,0.133333333,149.925
6953,24650,Trainz: Settle & Carlisle,22,165,19.99,0.125,159.92
8892,316320,Cars Toon,10,75,19.99,0.125,159.92
10005,302570,Dangerous,6,40,19.99,0.111111111,179.91
13010,306000,Super Dungeon Bros,2,12,19.99,0.1,199.9
13872,449460,Commands & Colors: The Great War,1,6,19.99,0.1,199.9
11060,531660,Exoplanet: First Contact,4,23,19.99,0.095833333,208.5913043
8890,317580,Toy Story Mania,10,49,19.99,0.081666667,244.7755102
7266,24640,Trainz: Classic Cabon City,19,91,19.99,0.079824561,250.4241758
7714,32610,Delta Force: Xtreme 2,16,67,19.99,0.069791667,286.4238806
5000,317060,Attractio,51,205,19.99,0.066993464,298.3873171
10530,338300,Chicken Little Ace in Action,5,20,19.99,0.066666667,299.85
15459,443970,S2ENGINE HD,1,4,19.99,0.066666667,299.85
15897,419450,Resume Maker® for Windows,1,3,19.99,0.05,399.8
8787,420100,CLANNAD Side Stories,10,27,19.99,0.045,444.2222222
11540,328890,Fritz for Fun 13,4,10,19.99,0.041666667,479.76
7185,346610,Racecraft,20,49,19.99,0.040833333,489.5510204
4324,327010,Motorama,71,169,19.99,0.039671362,503.8899408
14937,229560,Hacker Evolution IMMERSION,1,2,19.99,0.033333333,599.7
8437,285980,Kromaia,12,19,19.99,0.026388889,757.5157895
14546,463400,Spellbound,1,1,19.99,0.016666667,1199.4
12335,318740,The Princess and The Frog,3,2,19.99,0.011111111,1799.1
11999,301830,Disney-Pixar Brave,3,1,19.99,0.005555556,3598.2
12407,318950,Disney's Tangled,3,1,19.99,0.005555556,3598.2
3026,343180,Top Trumps Turbo,131,40,19.99,0.005089059,3928.035
7851,271520,Loadout Steam Launch Starter Pack,15,0,19.99,0,inf
9760,323680,Caffeine,7,0,19.99,0,inf
10938,343140,Cars Radiator Springs Adventures,5,0,19.99,0,inf
11429,581340,Narborion Saga,4,0,19.99,0,inf
11482,398620,Living Legends: The Frozen Fear Collection,4,0,19.99,0,inf
11562,27200,Summer Athletics,4,0,19.99,0,inf
11864,316542,My Lands: Age of Prosperity - Premium DLC Pack,3,0,19.99,0,inf
12190,464000,Arcade Saga,3,0,19.99,0,inf
12757,385130,"DvDrum, Ultimate Drum Simulator!",2,0,19.99,0,inf
13500,563190,de Blob 2,2,0,19.99,0,inf
13648,244750,Aztez,1,0,19.99,0,inf
13681,586920,Empyrean Frontier,1,0,19.99,0,inf
13751,370600,Hello Kitty and Sanrio Friends Racing,1,0,19.99,0,inf
13827,356460,Drive!Drive!Drive!,1,0,19.99,0,inf
13866,328590,Don't Knock Twice,1,0,19.99,0,inf
14041,348850,Disney Mickey's Typing Adventure,1,0,19.99,0,inf
14537,438110,CV Maker for Windows,1,0,19.99,0,inf
14578,291690,Empathy: Path of Whispers,1,0,19.99,0,inf
14697,528110,Tennis Elbow Manager,1,0,19.99,0,inf
14787,620040,Multiplicity,1,0,19.99,0,inf
14923,558720,Tribal Siege,1,0,19.99,0,inf
15080,275310,Victorian Admirals Anthology,1,0,19.99,0,inf
15319,677060,Into the Rhythm VR,1,0,19.99,0,inf
15362,37970,Jewel Quest 2,1,0,19.99,0,inf
15388,565670,kunlun fight,1,0,19.99,0,inf
15411,425310,Ghostbusters,1,0,19.99,0,inf
15439,534230,Quell 4D,1,0,19.99,0,inf
15647,494170,Miniature Garden,1,0,19.99,0,inf
11995,519860,DUSK,3,106,20,0.588888889,33.96226415
12812,482440,ESSENCE,2,47,20,0.391666667,51.06382979
4216,266590,AGFPROV3 Premium,75,1,22.49,0.000222222,101205
13059,543390,Aeon,2,109,24.99,0.908333333,27.51192661
5229,395570,We Are The Dwarves,45,2427,24.99,0.898888889,27.80098888
13163,500170,Ready for Take off-A320 Simulator,2,103,24.99,0.858333333,29.11456311
8714,383730,RPG Maker 2000,11,534,24.99,0.809090909,30.88651685
9155,431120,Tethered,9,383,24.99,0.709259259,35.23394256
13629,551720,Unearthed Inc: The Lost Temple,1,42,24.99,0.7,35.7
